Id;Degree deviation;Degree;Neighbors;Connective redudancy
903;7.997;24;23;0.042
904;1.355;6;5;0.167
905;0.728;3;3;0
906;6.599;20;20;0
907;9.706;30;29;0.033
908;2.499;10;10;0
909;0.728;3;3;0
910;1.385;5;5;0
911;1.05;4;4;0
912;0.452;2;2;0
913;5.873;19;18;0.053
914;6.568;21;21;0
915;0.728;3;3;0
916;1.05;4;4;0
917;4.853;15;15;0
919;1.726;6;5;0.167
920;0.904;4;3;0.25
921;1.604;7;6;0.143
922;1.05;4;4;0
924;1.385;5;5;0
925;1.05;4;4;0
926;6.25;19;19;0
927;1.05;4;4;0
928;6.599;20;20;0
929;8.697;26;26;0
930;0.728;3;3;0
931;1.457;6;5;0.167
932;8.631;30;28;0.067
933;0.728;3;3;0
934;4.594;18;17;0.056
935;1.05;4;4;0
936;7.248;31;30;0.032
937;2.05;9;8;0.111
938;7.613;24;23;0.042
939;0.728;3;3;0
940;10.704;35;34;0.029
942;2.763;9;9;0
943;8.659;27;27;0
945;5.653;24;24;0
946;0.452;2;2;0
947;1.726;6;6;0
948;1.161;5;4;0.2
949;2.1;8;8;0
950;3.149;12;12;0
952;4.531;17;17;0
953;2.05;9;8;0.111
954;1.161;5;4;0.2
955;2.1;8;7;0.125
956;2.1;8;7;0.125
958;4.504;14;14;0
959;2.763;9;9;0
960;5.522;23;22;0.043
961;1.457;6;6;0
963;0.452;2;2;0
964;2.416;8;8;0
965;0.904;4;4;0
966;1.773;7;6;0.143
968;5.249;20;19;0.05
969;1.385;5;5;0
970;1.05;4;4;0
971;6.25;19;19;0
972;11.071;35;34;0.029
973;4.853;15;15;0
974;4.531;17;16;0.059
975;2.185;9;8;0.111
976;0.728;3;3;0
977;9.098;40;39;0.025
979;0.904;4;3;0.25
980;5.083;22;21;0.045
981;2.05;9;8;0.111
982;3.11;10;9;0.1
983;2.185;9;8;0.111
984;0.728;3;3;0
985;3.458;11;10;0.091
986;7.962;25;24;0.04
987;1.457;6;5;0.167
988;2.07;7;7;0
989;1.726;6;6;0
990;3.452;12;12;0
991;3.11;10;10;0
992;1.604;7;6;0.143
994;0.728;3;3;0
995;5.866;20;20;0
996;3.796;13;13;0
997;1.05;4;4;0
998;0.728;3;3;0
999;4.14;14;14;0
1000;2.499;11;10;0.091
1001;1.773;7;7;0
1002;4.14;14;13;0.071
1003;1.773;7;6;0.143
1004;5.178;17;17;0
1006;8.347;31;30;0.032
1007;1.161;5;4;0.2
1008;1.726;6;6;0
1009;4.155;15;14;0.067
1010;2.499;10;9;0.1
1011;2.07;7;7;0
1012;1.161;5;5;0
1013;2.1;8;7;0.125
1014;1.457;6;5;0.167
1015;2.1;8;8;0
1016;3.796;13;12;0.077
